Original Feature Value,Rescaled Feature Value,Feature Impact on Outcome,Feature Name
0.00632,0.0,0.21455372869968414,CRIM
0.02731,0.002359225391784276,0.15532924234867096,CRIM
0.02729,0.0023569774400055386,0.21507126092910767,CRIM
0.03237,0.0029279571918046877,0.19879485666751862,CRIM
0.06905,0.0070507007540079845,0.2257106602191925,CRIM
0.02985,0.00264471526768385,0.21967296302318573,CRIM
0.08829,0.00921323036515279,0.2493637204170227,CRIM
0.14455,0.015536718718739422,0.8180882930755615,CRIM
0.21124,0.023032513924937294,0.6709643006324768,CRIM
0.17004,0.018401733260739475,0.8204610347747803,CRIM
0.22489,0.024566741013925163,0.642427384853363,CRIM
0.11747,0.012492992010329789,0.2427351325750351,CRIM
0.09378,0.009830293128416042,0.9795882105827332,CRIM
0.62976,0.07007315284678366,0.16368374228477478,CRIM
0.63796,0.07099481307606573,0.20532594621181488,CRIM
0.62739,0.06980677056100335,0.16368374228477478,CRIM
1.05393,0.11774883814612315,0.11867279559373856,CRIM
0.7842,0.08743183648218925,0.1915881633758545,CRIM
0.80271,0.08951231585341017,0.13613219559192657,CRIM
0.7258,0.08086781728827779,0.13418810069561005,CRIM
1.25179,0.13998782509316635,0.2217654436826706,CRIM
0.85204,0.0950568889156645,0.1342029571533203,CRIM
1.23247,0.1378163036749066,0.1054053008556366,CRIM
0.98843,0.11038679607076012,0.23114298284053802,CRIM
0.75026,0.0836170623136729,0.10437425971031189,CRIM
0.84054,0.09376431664289081,0.09170401096343994,CRIM
0.67191,0.07481071122047146,0.18417364358901978,CRIM
0.95577,0.10671589081608292,0.0922267958521843,CRIM
0.77299,0.08617185951020727,0.13523399829864502,CRIM
1.00245,0.11196261026765464,0.13347379863262177,CRIM
1.13081,0.12638996478358744,0.22156338393688202,CRIM
1.35472,0.1515569089224353,0.025619029998779297,CRIM
1.38799,0.15529637670636398,0.2551557421684265,CRIM
1.15172,0.12874019836825676,0.09176432341337204,CRIM
1.61282,0.18056672662703374,0.2047664225101471,CRIM
0.06417,0.006502200519996206,0.23497121036052704,CRIM
0.09744,0.010241668303924877,0.25195208191871643,CRIM
0.08014,0.008297190015317542,0.23631452023983002,CRIM
0.17505,0.01896484518131305,0.2527969777584076,CRIM
0.02763,0.0023951926202440644,0.21963642537593842,CRIM
0.03359,0.003065082250307632,0.19879485666751862,CRIM
0.12744,0.013613595972030084,0.23752456903457642,CRIM
0.1415,0.015193906072482057,0.24303169548511505,CRIM
0.15936,0.017201327010894024,0.24303169548511505,CRIM
0.12269,0.013079707424580093,0.23634348809719086,CRIM
0.17142,0.018556841933472314,0.25294288992881775,CRIM
0.18836,0.02046085709006239,0.2553369998931885,CRIM
0.22927,0.025059042453468523,0.8505935668945312,CRIM
0.25387,0.02782402314131479,0.7514767050743103,CRIM
0.21977,0.023991265358568537,0.986506462097168,CRIM
0.08873,0.009262685304285,0.25546908378601074,CRIM
0.04337,0.004164330670109929,0.17197750508785248,CRIM
0.0536,0.0053141580049338045,0.23757316172122955,CRIM
0.04981,0.004888171142863181,0.23634348809719086,CRIM
0.0136,0.0008182544474601964,0.4914960265159607,CRIM
0.01311,0.000763179628881145,0.21507126092910767,CRIM
0.02055,0.001599417690571236,0.17181111872196198,CRIM
0.01432,0.0008991807114947215,0.21125435829162598,CRIM
0.15445,0.016649454849214138,0.2428222894668579,CRIM
0.10328,0.010898070223316025,0.2361340969800949,CRIM
0.14932,0.016072855217968147,0.24915772676467896,CRIM
0.17171,0.018589437234264,0.5330315232276917,CRIM
0.11027,0.011683729369984538,0.23790597915649414,CRIM
0.1265,0.013507942238429455,0.24275055527687073,CRIM
0.01951,0.0014825241980769223,0.23945458233356476,CRIM
0.03584,0.0033179768254155226,0.21950657665729523,CRIM
0.04379,0.004211537657463403,0.21202214062213898,CRIM
0.05789,0.005796343661472849,0.23614813387393951,CRIM
0.13554,0.01452401644241849,0.25359049439430237,CRIM
0.12816,0.013694522236064608,0.23614813387393951,CRIM
0.08826,0.009209858437484685,0.2429664134979248,CRIM
0.15876,0.017133888457531922,0.2469109147787094,CRIM
0.09164,0.009589762288091205,0.2362782210111618,CRIM
0.19539,0.021251012140288374,0.24173389375209808,CRIM
0.07896,0.008164560860372072,0.24299538135528564,CRIM
0.09512,0.00998090589759141,0.24299538135528564,CRIM
0.10153,0.010701374442676553,0.24087069928646088,CRIM
0.08707,0.009076105306649844,0.26024964451789856,CRIM
0.05646,0.0056356151092931675,0.2554410994052887,CRIM
0.08387,0.008716433022051957,0.23630718886852264,CRIM
0.04113,0.003912560070891407,0.21942903101444244,CRIM
0.04462,0.00430482765628098,0.16679413616657257,CRIM
0.03659,0.003402275017118152,0.17178215086460114,CRIM
0.03551,0.0032808856210663657,0.17178215086460114,CRIM
0.05059,0.004975841262233916,0.24303169548511505,CRIM
0.05735,0.0057356489634469545,0.24295996129512787,CRIM
0.05188,0.00512083415196244,0.25546908378601074,CRIM
0.07151,0.007327198822792612,0.24303169548511505,CRIM
0.0566,0.005651350771744324,0.23902654647827148,CRIM
0.05302,0.005248967403350437,0.22213046252727509,CRIM
0.04684,0.004554350303720764,0.1670611947774887,CRIM
0.03932,0.0037091204349157265,0.15850749611854553,CRIM
0.04203,0.004013717900934563,0.17210759222507477,CRIM
0.02875,0.0025210779198533255,0.17210759222507477,CRIM
0.04294,0.004115999706867088,0.1758919060230255,CRIM
0.12204,0.013006648991771147,0.2414810210466385,CRIM
0.11504,0.012219865869213267,0.2553696930408478,CRIM
0.12083,0.012870647909157571,0.4100102186203003,CRIM
0.08187,0.008491637844178276,0.4234803020954132,CRIM
0.0686,0.007000121838986406,0.26429271697998047,CRIM
0.14866,0.015998672809269834,0.25952455401420593,CRIM
0.11432,0.012138939605178742,0.22884055972099304,CRIM
0.22876,0.02500171968311073,0.31030815839767456,CRIM
0.21161,0.023074101032843925,0.2526977062225342,CRIM
0.1396,0.014980350653502061,0.24331635236740112,CRIM
0.13262,0.014195815482722916,0.8200367093086243,CRIM
0.1712,0.01853211446390621,0.8196861147880554,CRIM
0.13117,0.014032838978764499,0.24331635236740112,CRIM
0.12802,0.01367878657361345,0.24331635236740112,CRIM
0.26363,0.02892102360933835,0.8460233807563782,CRIM
0.10793,0.01142071901187233,0.2553445100784302,CRIM
0.10084,0.010623820106310133,0.2773919105529785,CRIM
0.12329,0.013147145977942195,0.8212669491767883,CRIM
0.22212,0.024255399692570116,0.83042973279953,CRIM
0.14231,0.015284948119520898,0.2774636447429657,CRIM
0.17134,0.01854785012635737,0.8083447813987732,CRIM
0.13158,0.014078921990228605,0.24197115004062653,CRIM
0.15098,0.016259435215603305,0.2707754671573639,CRIM
0.13058,0.013966524401291761,0.8113153576850891,CRIM
0.14476,0.015560322212416157,0.24903133511543274,CRIM
0.06899,0.007043956898671774,0.2505161762237549,CRIM
0.07165,0.007342934485243769,0.24278713762760162,CRIM
0.09299,0.009741499033155939,0.822289228439331,CRIM
0.15038,0.0161919966622412,0.6673281192779541,CRIM
0.09849,0.01035968577230856,0.8566363453865051,CRIM
0.16902,0.018287087720023902,0.6094433665275574,CRIM
0.38735,0.042826853312604225,0.7846857905387878,CRIM
0.25915,0.028417482410901307,0.6943246722221375,CRIM
0.32543,0.035867194605635075,0.6813156604766846,CRIM
0.88125,0.09834002248850959,0.12611567974090576,CRIM
0.34006,0.03751157133178105,0.25467243790626526,CRIM
1.19294,0.1333732269842333,0.1393798291683197,CRIM
0.59005,0.06560984459010172,0.28823983669281006,CRIM
0.32982,0.036360620021067803,0.6706993579864502,CRIM
0.97617,0.10900880163039446,0.10864347219467163,CRIM
0.55778,0.06198277439510991,0.6867575645446777,CRIM
0.32264,0.03555360533250129,0.6947871446609497,CRIM
0.35233,0.03889068974803608,0.5050249099731445,CRIM
0.2498,0.02736656495434185,0.6077162623405457,CRIM
0.54452,0.060492382365807396,0.6954553127288818,CRIM
0.2909,0.03198610585964598,0.6267135739326477,CRIM
1.62864,0.1823448564840146,0.3252185583114624,CRIM
3.32105,0.3725676599766123,0.3942531943321228,CRIM
4.0974,0.45982752814772826,0.3994755744934082,CRIM
2.77974,0.31172572110921126,0.34704527258872986,CRIM
2.37934,0.26672172649890047,0.749650776386261,CRIM
2.15505,0.24151207127625665,0.26145121455192566,CRIM
2.36862,0.26551682434549756,0.7044960856437683,CRIM
2.33099,0.26128730307380427,0.6873798966407776,CRIM
2.73397,0.30658128346357216,0.5318583250045776,CRIM
1.6566,0.18548749307068862,0.1600106805562973,CRIM
1.49632,0.1674724075158919,0.1586468368768692,CRIM
1.12658,0.1259145229823846,0.1708233803510666,CRIM
2.14918,0.24085229742919737,0.24306243658065796,CRIM
1.41385,0.15820297835627067,0.24344201385974884,CRIM
3.53501,0.39661624810553864,-0.0680215060710907,CRIM
2.44668,0.27429058013790736,0.34575727581977844,CRIM
1.22358,0.13681708910925808,0.15023671090602875,CRIM
1.34284,0.15022162556586566,0.16533152759075165,CRIM
1.42502,0.15945845942469516,0.17953255772590637,CRIM
1.27346,0.14242348084542766,0.17812158167362213,CRIM
1.46336,0.1637677829845336,0.3510144054889679,CRIM
1.83377,0.2054009739026286,0.35049763321876526,CRIM
1.51902,0.17002383278475813,0.350432813167572,CRIM
2.24236,0.25132550476633214,0.17869412899017334,CRIM
2.924,0.32794019728923984,-0.15486709773540497,CRIM
2.01019,0.225230156542866,0.34982648491859436,CRIM
1.80028,0.20163677864913382,0.14506328105926514,CRIM
2.3004,0.2578490608282263,0.184054434299469,CRIM
2.44953,0.2746109132663773,0.184054434299469,CRIM
1.20742,0.13500074407203874,0.26342883706092834,CRIM
2.3139,0.2593664282788737,0.1494559496641159,CRIM
0.13914,0.014928647762591117,0.5450706481933594,CRIM
0.09178,0.009605497950542361,0.2600793242454529,CRIM
0.08447,0.00878387157541406,0.23497159779071808,CRIM
0.06664,0.006779822564670201,0.23737022280693054,CRIM
0.07022,0.0071822059330640875,0.2529294490814209,CRIM
0.05425,0.00538721643774275,0.2293952852487564,CRIM
0.06642,0.006755095095104097,0.18604955077171326,CRIM
0.0578,0.005786227878468533,0.21669505536556244,CRIM
0.06588,0.006694400397078202,0.40358850359916687,CRIM
0.06888,0.007031593163888721,0.24303169548511505,CRIM
0.09103,0.009521199758839732,0.2111549824476242,CRIM
0.10008,0.010538397938718136,0.2597258985042572,CRIM
0.08308,0.008627638926791852,0.2429182082414627,CRIM
0.06047,0.0060863294409298965,0.25158387422561646,CRIM
0.05602,0.005586160170160957,0.4234803020954132,CRIM
0.07875,0.008140957366695335,0.24279356002807617,CRIM
0.12579,0.013428139950284298,0.23737022280693054,CRIM
0.0837,0.008697325431932693,0.2255442589521408,CRIM
0.09068,0.009481860602711837,0.21586668491363525,CRIM
0.06911,0.007057444609344195,0.23735816776752472,CRIM
0.08664,0.009027774343407003,0.2255442589521408,CRIM
0.02187,0.0017477825079678653,0.21125435829162598,CRIM
0.01439,0.0009070485427203005,0.21815748512744904,CRIM
0.01381,0.0008418579411369329,0.412840873003006,CRIM
0.04011,0.00379791453017583,0.21490485966205597,CRIM
0.04666,0.004534118737712134,0.23862621188163757,CRIM
0.03768,0.0035247883890593083,0.23928818106651306,CRIM
0.0315,0.002830171289429636,0.1986284703016281,CRIM
0.01778,0.0012880763692161886,0.21490485966205597,CRIM
0.03445,0.003161744176793315,0.17181111872196198,CRIM
0.02177,0.0017365427490741811,0.4126744866371155,CRIM
0.0351,0.003234802609602261,0.412840873003006,CRIM
0.02009,0.0015477147996602898,0.412840873003006,CRIM
0.13642,0.014622926320682912,0.25372788310050964,CRIM
0.22969,0.025106249440821994,0.28341197967529297,CRIM
0.25199,0.027612715674113532,0.8418635725975037,CRIM
0.13587,0.014561107646767647,0.5614336729049683,CRIM
0.43571,0.04826240071358981,0.7207525968551636,CRIM
0.17446,0.01889853060384031,0.8221054077148438,CRIM
0.37578,0.04152641320860498,0.719679594039917,CRIM
0.21719,0.023701279579111494,0.9879428744316101,CRIM
0.14052,0.015083756435323954,0.24316178262233734,CRIM
0.28955,0.03183436911458125,0.8125306367874146,CRIM
0.19802,0.021546617799192265,0.250090628862381,CRIM
0.0456,0.0044149772934390825,0.24226902425289154,CRIM
0.07013,0.007172090150059772,0.26353153586387634,CRIM
0.11069,0.011730936357338009,0.8224560022354126,CRIM
0.11425,0.012131071773953162,0.2771467864513397,CRIM
0.35809,0.03953809986031228,0.2707183361053467,CRIM
0.40771,0.04511526822335829,0.7172231078147888,CRIM
0.62356,0.06937628779537525,0.17584556341171265,CRIM
0.6147,0.06838044515739483,0.2888191044330597,CRIM
0.31533,0.03473197895737299,0.4347286522388458,CRIM
0.52693,0.05851530877640837,0.4371391236782074,CRIM
0.38214,0.04224126187424328,0.43690553307533264,CRIM
0.41238,0.04564016496369333,0.2838987410068512,CRIM
0.29819,0.03280548428299555,0.4449836015701294,CRIM
0.44178,0.04894465407843643,0.2603660523891449,CRIM
0.537,0.05964715249700236,0.2715110182762146,CRIM
0.46296,0.051325235012118706,0.2337440401315689,CRIM
0.57529,0.06395085617739396,0.43217554688453674,CRIM
0.33147,0.03654607604281359,0.4407292306423187,CRIM
